Date of Sale,Product ID,Product Name,Quantity Sold,Sale Price,Total Sale Amount,Customer ID,Store Location,Target Gender,Customer Gender
2014-01-01,P0020,Shoe Model 20,8,131.77,1054.16,C6734,Los Angeles,Unisex,Unisex
2014-01-01,P0011,Shoe Model 11,8,86.73,693.84,C9322,Phoenix,Female,Female
2014-01-01,P0006,Shoe Model 6,2,60.91,121.82,C7420,New York,Female,Female
2014-01-02,P0012,Shoe Model 12,9,79.51,715.59,C3558,Los Angeles,Unisex,Female
2014-01-03,P0015,Shoe Model 15,3,95.02,285.06,C2267,New York,Unisex,Male
2014-01-03,P0019,Shoe Model 19,7,58.99,412.93,C6393,Houston,Male,Female
2014-01-04,P0009,Shoe Model 9,5,69.25,346.25,C7235,Houston,Unisex,Male
2014-01-04,P0008,Shoe Model 8,3,184.58,553.74,C2585,Houston,Female,Female
2014-01-05,P0010,Shoe Model 10,4,61.43,245.72,C7873,Houston,Female,Female
2014-01-05,P0004,Shoe Model 4,8,126.98,1015.84,C2016,Phoenix,Male,Female
2014-01-06,P0013,Shoe Model 13,9,80.37,723.33,C1064,New York,Unisex,Male
2014-01-06,P0001,Shoe Model 1,8,30.94,247.52,C6258,Chicago,Male,Unisex
2014-01-06,P0003,Shoe Model 3,1,133.01,133.01,C4561,Los Angeles,Male,Unisex
2014-01-07,P0008,Shoe Model 8,2,46.22,92.44,C3454,Phoenix,Unisex,Female
2014-01-08,P0003,Shoe Model 3,1,95.1,95.1,C9110,Chicago,Male,Male
2014-01-08,P0014,Shoe Model 14,7,36.87,258.09,C1206,Los Angeles,Female,Male
2014-01-08,P0019,Shoe Model 19,7,110.81,775.67,C6116,Houston,Female,Male
2014-01-09,P0007,Shoe Model 7,4,190.29,761.16,C4157,Houston,Female,Female
2014-01-09,P0013,Shoe Model 13,9,47.93,431.37,C4627,Houston,Female,Female
2014-01-09,P0011,Shoe Model 11,7,182.34,1276.38,C8392,New York,Male,Unisex
2014-01-10,P0020,Shoe Model 20,9,81.81,736.29,C9901,Chicago,Male,Female
2014-01-10,P0005,Shoe Model 5,1,50.38,50.38,C1663,Chicago,Female,Male
2014-01-11,P0017,Shoe Model 17,1,73.17,73.17,C2291,Los Angeles,Unisex,Male
2014-01-11,P0005,Shoe Model 5,1,199.62,199.62,C1698,New York,Female,Female
2014-01-11,P0005,Shoe Model 5,1,137.84,137.84,C6249,Phoenix,Female,Female
2014-01-11,P0004,Shoe Model 4,7,159.48,1116.36,C5218,New York,Unisex,Female
2014-01-12,P0005,Shoe Model 5,4,197.18,788.72,C8125,Chicago,Unisex,Male
2014-01-12,P0009,Shoe Model 9,6,148.29,889.74,C1659,Houston,Unisex,Unisex
2014-01-12,P0003,Shoe Model 3,3,89.27,267.81,C2734,Houston,Male,Male
2014-01-12,P0008,Shoe Model 8,7,189.24,1324.68,C5736,Chicago,Male,Male
2014-01-13,P0010,Shoe Model 10,3,68.85,206.55,C7287,Los Angeles,Male,Male
2014-01-13,P0002,Shoe Model 2,1,45.83,45.83,C5548,Phoenix,Unisex,Unisex
2014-01-14,P0009,Shoe Model 9,3,149.06,447.18,C3255,Chicago,Female,Male
2014-01-15,P0020,Shoe Model 20,1,57.48,57.48,C5199,Houston,Female,Unisex
2014-01-15,P0016,Shoe Model 16,9,142.8,1285.2,C3961,Los Angeles,Female,Female
2014-01-15,P0003,Shoe Model 3,9,59.91,539.19,C6699,New York,Female,Male
2014-01-15,P0016,Shoe Model 16,4,92.3,369.2,C2218,New York,Male,Unisex
2014-01-16,P0014,Shoe Model 14,6,196.41,1178.46,C9754,Chicago,Unisex,Female
2014-01-16,P0001,Shoe Model 1,1,63.19,63.19,C8996,Chicago,Unisex,Male
2014-01-16,P0017,Shoe Model 17,5,180.19,900.95,C2060,Phoenix,Male,Female
2014-01-17,P0003,Shoe Model 3,1,42.81,42.81,C1980,New York,Unisex,Female
2014-01-18,P0010,Shoe Model 10,6,148.33,889.98,C2895,Los Angeles,Unisex,Female
2014-01-19,P0002,Shoe Model 2,2,84.83,169.66,C9096,New York,Unisex,Female
2014-01-19,P0016,Shoe Model 16,7,79.91,559.37,C3806,Los Angeles,Unisex,Female
2014-01-19,P0013,Shoe Model 13,7,115.26,806.82,C5780,Houston,Male,Female
2014-01-20,P0014,Shoe Model 14,3,87.46,262.38,C6919,Chicago,Male,Female
2014-01-20,P0017,Shoe Model 17,4,36.6,146.4,C4854,Chicago,Male,Male
2014-01-20,P0008,Shoe Model 8,5,76.16,380.8,C1004,Houston,Female,Male
2014-01-20,P0020,Shoe Model 20,3,138.36,415.08,C8987,Phoenix,Female,Female
2014-01-21,P0019,Shoe Model 19,1,97.8,97.8,C6177,Los Angeles,Male,Female
2014-01-21,P0009,Shoe Model 9,5,39.89,199.45,C1512,Los Angeles,Female,Female
2014-01-22,P0008,Shoe Model 8,5,138.51,692.55,C5070,Phoenix,Female,Male
2014-01-22,P0003,Shoe Model 3,3,158.83,476.49,C3744,Phoenix,Female,Male
2014-01-22,P0015,Shoe Model 15,1,82.94,82.94,C7617,Phoenix,Unisex,Male
2014-01-22,P0005,Shoe Model 5,7,38.17,267.19,C3849,Houston,Unisex,Female
2014-01-23,P0019,Shoe Model 19,1,121.69,121.69,C5611,Los Angeles,Male,Unisex
2014-01-23,P0020,Shoe Model 20,8,145.12,1160.96,C3427,New York,Male,Male
2014-01-24,P0011,Shoe Model 11,5,136.41,682.05,C6536,Los Angeles,Unisex,Male
2014-01-24,P0013,Shoe Model 13,2,36.62,73.24,C9945,Chicago,Unisex,Male
2014-01-24,P0008,Shoe Model 8,2,74.32,148.64,C4974,Houston,Female,Male
2014-01-25,P0013,Shoe Model 13,8,154.96,1239.68,C8164,New York,Female,Male
2014-01-25,P0009,Shoe Model 9,8,167.16,1337.28,C2122,Houston,Female,Male
2014-01-26,P0005,Shoe Model 5,1,145.57,145.57,C3914,New York,Female,Male
2014-01-26,P0017,Shoe Model 17,4,170.5,682.0,C2365,Phoenix,Unisex,Unisex
2014-01-26,P0017,Shoe Model 17,4,31.84,127.36,C8400,Chicago,Male,Unisex
2014-01-27,P0014,Shoe Model 14,4,127.48,509.92,C6486,Phoenix,Male,Unisex
2014-01-27,P0012,Shoe Model 12,9,124.13,1117.17,C6588,Houston,Male,Unisex
2014-01-27,P0016,Shoe Model 16,9,49.29,443.61,C8860,Los Angeles,Female,Unisex
2014-01-27,P0014,Shoe Model 14,5,155.3,776.5,C9924,Chicago,Unisex,Female
2014-01-28,P0012,Shoe Model 12,9,159.46,1435.14,C3539,New York,Male,Female
2014-01-28,P0007,Shoe Model 7,8,42.37,338.96,C7938,Los Angeles,Female,Male
2014-01-28,P0005,Shoe Model 5,6,197.73,1186.38,C2365,Houston,Male,Unisex
2014-01-29,P0013,Shoe Model 13,4,89.54,358.16,C8419,Chicago,Male,Female
2014-01-29,P0007,Shoe Model 7,3,48.9,146.7,C5268,Phoenix,Female,Female
2014-01-29,P0020,Shoe Model 20,8,49.98,399.84,C4072,Chicago,Male,Female
2014-01-30,P0017,Shoe Model 17,9,177.66,1598.94,C6029,Phoenix,Female,Female
2014-01-31,P0013,Shoe Model 13,5,37.38,186.9,C6348,Houston,Unisex,Unisex
2014-01-31,P0020,Shoe Model 20,9,118.93,1070.37,C2256,New York,Female,Unisex
2014-01-31,P0001,Shoe Model 1,5,148.48,742.4,C4330,New York,Unisex,Female
2014-01-31,P0016,Shoe Model 16,8,97.07,776.56,C8575,Houston,Male,Female
2014-02-01,P0004,Shoe Model 4,8,90.07,720.56,C1539,Houston,Male,Male
2014-02-01,P0004,Shoe Model 4,6,35.49,212.94,C6320,New York,Male,Male
2014-02-01,P0016,Shoe Model 16,3,169.83,509.49,C6713,Chicago,Male,Unisex
2014-02-01,P0002,Shoe Model 2,8,179.03,1432.24,C8418,Phoenix,Male,Unisex
2014-02-02,P0001,Shoe Model 1,6,167.79,1006.74,C9415,New York,Unisex,Male
2014-02-02,P0017,Shoe Model 17,1,109.68,109.68,C8266,New York,Male,Unisex
2014-02-02,P0006,Shoe Model 6,1,120.84,120.84,C6989,Chicago,Male,Unisex
2014-02-02,P0005,Shoe Model 5,5,190.61,953.05,C5178,New York,Male,Female
2014-02-03,P0014,Shoe Model 14,1,192.19,192.19,C1716,Houston,Female,Male
2014-02-04,P0008,Shoe Model 8,2,90.89,181.78,C8239,Los Angeles,Female,Female
2014-02-05,P0003,Shoe Model 3,2,174.87,349.74,C2077,Houston,Male,Female
2014-02-05,P0017,Shoe Model 17,7,158.37,1108.59,C7996,Los Angeles,Unisex,Unisex
2014-02-06,P0006,Shoe Model 6,2,89.6,179.2,C7241,Los Angeles,Female,Unisex
2014-02-06,P0019,Shoe Model 19,2,89.2,178.4,C5261,New York,Unisex,Female
2014-02-06,P0010,Shoe Model 10,3,148.6,445.8,C5892,Houston,Female,Male
2014-02-07,P0017,Shoe Model 17,4,108.05,432.2,C8941,Phoenix,Female,Male
2014-02-07,P0011,Shoe Model 11,3,121.33,363.99,C8830,Chicago,Female,Male
2014-02-08,P0003,Shoe Model 3,2,132.33,264.66,C8570,Phoenix,Male,Female
2014-02-08,P0010,Shoe Model 10,6,45.08,270.48,C7376,Houston,Female,Female
2014-02-08,P0002,Shoe Model 2,1,115.58,115.58,C8240,Los Angeles,Male,Unisex
2014-02-09,P0015,Shoe Model 15,8,178.51,1428.08,C3878,Phoenix,Male,Female
2014-02-10,P0001,Shoe Model 1,8,157.2,1257.6,C2276,Houston,Unisex,Unisex
2014-02-10,P0014,Shoe Model 14,7,120.32,842.24,C1364,Los Angeles,Female,Unisex
2014-02-10,P0019,Shoe Model 19,7,146.82,1027.74,C1918,Chicago,Unisex,Male
2014-02-10,P0018,Shoe Model 18,6,120.54,723.24,C4086,New York,Unisex,Male
2014-02-11,P0010,Shoe Model 10,7,84.75,593.25,C7229,Los Angeles,Female,Male
2014-02-11,P0017,Shoe Model 17,4,110.57,442.28,C8561,Chicago,Male,Male
2014-02-11,P0018,Shoe Model 18,4,121.31,485.24,C8943,New York,Unisex,Female
2014-02-11,P0009,Shoe Model 9,5,91.72,458.6,C6401,Los Angeles,Unisex,Unisex
2014-02-12,P0006,Shoe Model 6,5,188.73,943.65,C2460,Phoenix,Female,Female
2014-02-13,P0016,Shoe Model 16,4,174.64,698.56,C4517,New York,Unisex,Unisex
2014-02-13,P0019,Shoe Model 19,8,148.48,1187.84,C6342,Los Angeles,Unisex,Unisex
2014-02-13,P0006,Shoe Model 6,6,73.84,443.04,C3551,Chicago,Female,Male
